FID IID BAPS_1 BAPS_2 BAPS_3 BAPS_4 BAPS_5 BAPS_6 BAPS_7 BAPS_8 BAPS_9 BAPS_10
307052_H11_hpgen5584263 307052_H11_hpgen5584263 0 1 0 0 0 0 0 0 0 0
307052_H12_hpgen5584271 307052_H12_hpgen5584271 0 1 0 0 0 0 0 0 0 0
307053_H01_hpgen5584279 307053_H01_hpgen5584279 0 1 0 0 0 0 0 0 0 0
307052_E08_hpgen5584235 307052_E08_hpgen5584235 0 1 0 0 0 0 0 0 0 0
307052_C11_hpgen5584258 307052_C11_hpgen5584258 0 1 0 0 0 0 0 0 0 0
307052_E12_hpgen5584268 307052_E12_hpgen5584268 0 1 0 0 0 0 0 0 0 0
307053_E01_hpgen5584276 307053_E01_hpgen5584276 0 1 0 0 0 0 0 0 0 0
307052_B09_hpgen5584240 307052_B09_hpgen5584240 0 1 0 0 0 0 0 0 0 0
307050_D11_hpgen5584028 307050_D11_hpgen5584028 0 1 0 0 0 0 0 0 0 0
307050_H06_hpgen5583992 307050_H06_hpgen5583992 0 1 0 0 0 0 0 0 0 0
307051_E03_hpgen5584063 307051_E03_hpgen5584063 0 1 0 0 0 0 0 0 0 0
307050_G07_hpgen5583999 307050_G07_hpgen5583999 0 1 0 0 0 0 0 0 0 0
307050_A06_hpgen5583985 307050_A06_hpgen5583985 0 1 0 0 0 0 0 0 0 0
307050_G05_hpgen5583983 307050_G05_hpgen5583983 0 1 0 0 0 0 0 0 0 0
307050_D08_hpgen5584004 307050_D08_hpgen5584004 0 1 0 0 0 0 0 0 0 0
307051_G09_hpgen5584113 307051_G09_hpgen5584113 0 1 0 0 0 0 0 0 0 0
307051_A02_hpgen5584050 307051_A02_hpgen5584050 0 1 0 0 0 0 0 0 0 0
307050_C12_hpgen5584036 307050_C12_hpgen5584036 0 1 0 0 0 0 0 0 0 0
307051_A04_hpgen5584067 307051_A04_hpgen5584067 0 1 0 0 0 0 0 0 0 0
307051_A09_hpgen5584107 307051_A09_hpgen5584107 0 1 0 0 0 0 0 0 0 0
307051_A07_hpgen5584091 307051_A07_hpgen5584091 0 1 0 0 0 0 0 0 0 0
307049_G11_hpgen5583935 307049_G11_hpgen5583935 0 1 0 0 0 0 0 0 0 0
307050_B08_hpgen5584002 307050_B08_hpgen5584002 0 1 0 0 0 0 0 0 0 0
307052_E06_hpgen5584216 307052_E06_hpgen5584216 0 1 0 0 0 0 0 0 0 0
