hpgen5584088	11893_1#56
hpgen5584112	11893_1#57
hpgen5584041	11822_8#51
hpgen5584073	11893_1#58
hpgen5584081	11893_1#60
hpgen5584089	11893_1#62
hpgen5584113	11893_1#61
hpgen5584042	11893_1#70
hpgen5584050	11893_1#73
hpgen5584066	11893_1#71
hpgen5584082	11893_1#68
hpgen5584098	11893_1#78
hpgen5584114	11893_1#72
hpgen5584122	12216_4#88
hpgen5584067	11893_1#85
hpgen5584083	11893_1#89
hpgen5584091	12216_4#91
hpgen5584099	12216_4#89
hpgen5584107	11893_1#88
hpgen5584036	11893_1#81
hpgen5584084	11861_3#3
hpgen5584116	12216_4#90
hpgen5584037	11861_3#6
hpgen5584069	11861_3#11
hpgen5584077	11861_3#9
hpgen5584093	11861_3#12
hpgen5584101	11861_3#14
hpgen5584109	11861_3#17
hpgen5584126	11861_3#16
hpgen5584134	11861_3#15
hpgen5584142	11861_3#21
hpgen5584150	11861_3#25
hpgen5584158	11861_3#23
hpgen5584166	11861_3#26
hpgen5584206	11861_3#27
hpgen5584214	11861_3#30
hpgen5584135	12673_6#16
hpgen5584151	11861_3#38
hpgen5584159	11861_3#32
hpgen5584183	11861_3#37
hpgen5584191	11861_3#47
hpgen5584199	11861_3#50
hpgen5584207	11861_3#48
hpgen5584215	11861_3#44
hpgen5584128	11861_3#45
hpgen5584136	11861_3#49
hpgen5584152	11861_3#51
hpgen5584176	11861_3#1
hpgen5584184	11861_3#54
hpgen5584192	11861_3#55
hpgen5584208	11861_3#57
hpgen5584216	12673_6#19
hpgen5584129	11861_3#46
hpgen5584177	11861_3#58
hpgen5584193	11861_3#62
hpgen5584138	11861_3#66
hpgen5584154	11861_3#73
hpgen5584162	11861_3#64
hpgen5584170	11861_3#72
hpgen5584178	12673_6#21
hpgen5584186	11861_3#65
hpgen5584210	11861_3#78
hpgen5584131	11861_3#80
hpgen5584139	11861_3#82
hpgen5584238	11861_3#84
hpgen5584246	11861_3#83
hpgen5584262	11861_3#71
hpgen5584270	11861_3#86
hpgen5584302	11861_3#89
hpgen5584223	12673_6#26
hpgen5584255	11861_3#92
hpgen5584263	11861_3#93
hpgen5584271	11861_3#94
hpgen5584279	11861_3#95
hpgen5584287	11861_3#96
hpgen5584295	11861_4#1
hpgen5584224	11861_4#2
hpgen5584232	12673_6#36
hpgen5584240	11861_4#4
hpgen5584248	11861_4#3
hpgen5584264	12673_6#41
hpgen5584272	11861_4#5
hpgen5584288	11861_4#6
hpgen5584296	12673_6#38
hpgen5584304	11861_4#10
hpgen5584312	11861_4#9
hpgen5584225	11861_4#7
hpgen5584233	11861_4#11
hpgen5584241	11861_4#14
hpgen5584265	11861_4#13
hpgen5584273	12673_6#44
hpgen5584281	11861_4#12
hpgen5584258	11861_4#18
hpgen5584274	11861_4#19
hpgen5584282	11861_4#21
hpgen5584290	12673_6#49
hpgen5584306	11861_4#22
hpgen5584227	11861_4#24
hpgen5584235	11861_4#16
hpgen5584243	11861_4#23
hpgen5584251	11861_4#17
hpgen5584275	11861_4#28
hpgen5584283	11861_4#26
hpgen5584291	11861_4#27
hpgen5584299	11861_4#29
hpgen5584315	11861_4#30
hpgen5584252	12673_6#57
hpgen5584260	11861_4#34
hpgen5584268	11861_4#33
hpgen5584276	11861_4#35
hpgen5584300	11861_4#37
hpgen5584245	11861_4#38
hpgen5584253	11861_4#39
hpgen5584269	11861_4#40
hpgen5584301	11861_4#41
hpgen5584326	11861_4#44
hpgen5584342	11861_4#45
hpgen5584374	11861_4#42
